,name,site_link
244,한발 앞으로 내밀고 앉았다 일어서기,/entry.naver?docId=3535556&categoryId=58501&cid=58501
245,의자 앞에서 앉았다 일어서기,/entry.naver?docId=3535557&categoryId=58501&cid=58501
246,앉았다 일어서기,/entry.naver?docId=3535558&categoryId=58501&cid=58501
247,서서 상체 일으키기,/entry.naver?docId=3535559&categoryId=58501&cid=58501
248,짝 운동,/entry.naver?docId=3535560&categoryId=58501&cid=58501
249,서서 균형잡으며 몸통 회전하기,/entry.naver?docId=3535561&categoryId=58501&cid=58501
250,엎드려서 다리 차올리기,/entry.naver?docId=3535562&categoryId=58501&cid=58501
251,윗몸 말아 올리기,/entry.naver?docId=3535563&categoryId=58501&cid=58501
252,엎드려서 균형잡기,/entry.naver?docId=3535564&categoryId=58501&cid=58501
253,서서 균형잡기,/entry.naver?docId=3535565&categoryId=58501&cid=58501
254,앉아서 팔꿈치 굽히기/펴기,/entry.naver?docId=3535566&categoryId=58501&cid=58501
255,손목 펴기/굽히기,/entry.naver?docId=3535567&categoryId=58501&cid=58501
256,덤벨 옆으로 들어올리기,/entry.naver?docId=3535568&categoryId=58501&cid=58501
257,허리 굽혀 덤벨 뒤로 들기,/entry.naver?docId=3535569&categoryId=58501&cid=58501
258,누워서 머리 위로 팔꿈치 펴기,/entry.naver?docId=3535570&categoryId=58501&cid=58501
259,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,/entry.naver?docId=3535571&categoryId=58501&cid=58501
260,바벨 들어 팔꿈치 굽히기,/entry.naver?docId=3535572&categoryId=58501&cid=58501
261,서서 바벨 위로 밀기,/entry.naver?docId=3535573&categoryId=58501&cid=58501
262,누워서 덤벨 모아들기,/entry.naver?docId=3535574&categoryId=58501&cid=58501
263,누워서 덤벨 들어올리기,/entry.naver?docId=3535575&categoryId=58501&cid=58501
264,매달려서 뒤로 팔굽혀 펴기,/entry.naver?docId=3535576&categoryId=58501&cid=58501
265,몸통 옆으로 굽히기,/entry.naver?docId=3535577&categoryId=58501&cid=58501
266,매달려서 다리 들기,/entry.naver?docId=3535578&categoryId=58501&cid=58501
267,허리 굽혀 덤벨 들기,/entry.naver?docId=3535579&categoryId=58501&cid=58501
268,바벨 끌어당기기,/entry.naver?docId=3535580&categoryId=58501&cid=58501
269,턱걸이,/entry.naver?docId=3535581&categoryId=58501&cid=58501
270,서서 어깨 들어올리기,/entry.naver?docId=3535582&categoryId=58501&cid=58501
271,한발 앞으로 내밀고 앉았다 일어서기,/entry.naver?docId=3535583&categoryId=58501&cid=58501
272,앉았다 일어서기,/entry.naver?docId=3535584&categoryId=58501&cid=58501
273,파워클린,/entry.naver?docId=3535585&categoryId=58501&cid=58501
274,원판던지기,/entry.naver?docId=3535586&categoryId=58501&cid=58501
275,바벨들어올리기,/entry.naver?docId=3535587&categoryId=58501&cid=58501
276,앉아서 위로 밀기,/entry.naver?docId=3535588&categoryId=58501&cid=58501
277,앉아서 모으기,/entry.naver?docId=3535589&categoryId=58501&cid=58501
278,거꾸로 누워서 밀기,/entry.naver?docId=3535590&categoryId=58501&cid=58501
279,비스듬히 누워서 밀기,/entry.naver?docId=3535591&categoryId=58501&cid=58501
280,누워서 밀기,/entry.naver?docId=3535592&categoryId=58501&cid=58501
281,앉아서 밀기,/entry.naver?docId=3535593&categoryId=58501&cid=58501
282,앉아서 몸통 움츠리기,/entry.naver?docId=3535594&categoryId=58501&cid=58501
283,몸통 들어올리기,/entry.naver?docId=3535595&categoryId=58501&cid=58501
284,앉아서 뒤로 당기기,/entry.naver?docId=3535596&categoryId=58501&cid=58501
285,앉아서 당겨 내리기,/entry.naver?docId=3535597&categoryId=58501&cid=58501
286,앉아서 다리 벌리기,/entry.naver?docId=3535598&categoryId=58501&cid=58501
287,앉아서 다리 모으기,/entry.naver?docId=3535599&categoryId=58501&cid=58501
288,뒤꿈치 들기,/entry.naver?docId=3535600&categoryId=58501&cid=58501
289,앉아서 다리 굽히기,/entry.naver?docId=3535601&categoryId=58501&cid=58501
290,앉아서 다리 펴기,/entry.naver?docId=3535602&categoryId=58501&cid=58501
291,앉아서 다리 밀기,/entry.naver?docId=3535603&categoryId=58501&cid=58501
